Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Upload Source,Approval Status,Internal Notes
6733.0,CA-2014-120096,7/4/2014,7/7/2014,First Class,KE-16420,Katrina Edelman,Corporate,United States,Aurora,Colorado,80013.0,West,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,177.536,4.0,0.2,62.1376,ERP,Pending,Duplicate?
6734.0,CA-2014-120096,7/4/2014,7/7/2014,First Class,KE-16420,Katrina Edelman,Corporate,United States,Aurora,Colorado,80013.0,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,32.432,2.0,0.2,3.2432,CRM,Pending,Urgent
6735.0,CA-2015-141754,12/20/2015,12/25/2015,Standard Class,EM-14200,Evan Minnotte,Home Office,United States,Miami,Florida,33142.0,South,OFF-LA-10004093,Office Supplies,Labels,Avery 486,11.696,2.0,0.2,3.9474,ERP,Pending,Duplicate?
6736.0,CA-2016-123358,4/10/2016,4/17/2016,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,California,94122.0,West,OFF-AP-10004980,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,113.76,3.0,0.0,44.3664,CRM,Pending,Duplicate?
6737.0,CA-2016-123358,4/10/2016,4/17/2016,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,California,94122.0,West,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,579.51,3.0,0.0,81.1314,Legacy,,Urgent
6738.0,CA-2016-123358,4/10/2016,4/17/2016,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,California,94122.0,West,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,150.66,9.0,0.0,6.0264,Legacy,,Check later
6739.0,CA-2016-123358,4/10/2016,4/17/2016,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",48.032,4.0,0.2,15.6104,ERP,,
6740.0,CA-2014-144029,5/26/2014,5/31/2014,Standard Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,ABCDE,Central,OFF-ST-10001837,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",102.624,3.0,0.2,7.6968,Manual Upload,Approved,Check later
6741.0,CA-2014-144029,5/26/2014,5/31/2014,Standard Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60623.0,Central,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,359.772,2.0,0.3,-5.1396,Manual Upload,Rejected,Urgent
6742.0,CA-2014-144029,5/26/2014,5/31/2014,Standard Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60623.0,Central,OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,13.392,3.0,0.2,3.1806,ERP,Approved,
6743.0,US-2017-101784,7/6/2017,7/11/2017,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,Los Angeles,California,90008.0,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",122.136,3.0,0.2,-13.7403,Legacy,Rejected,Duplicate?
6744.0,CA-2015-156923,2/16/2015,2/20/2015,Standard Class,SP-20860,Sung Pak,Corporate,United States,Dover,New Hampshire,3820.0,East,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,35.88,6.0,0.0,16.146,CRM,,Duplicate?
6745.0,CA-2017-111269,6/16/2017,6/18/2017,Second Class,CS-12355,Christine Sundaresam,Consumer,United States,Dublin,Ohio,43017.0,East,TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,479.952,6.0,0.2,107.9892,ERP,Pending,Check later
6746.0,CA-2017-111269,6/16/2017,6/18/2017,Second Class,CS-12355,Christine Sundaresam,Consumer,United States,Dublin,Ohio,43017.0,East,OFF-AR-10001427,Office Supplies,Art,Newell 330,23.92,5.0,0.2,1.794,CRM,Approved,
6747.0,CA-2017-159156,11/13/2017,11/16/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,New York City,New York,10009.0,East,TEC-PH-10004389,Technology,Phones,Nokia Lumia 925,629.95,5.0,0.0,163.787,Manual Upload,Pending,Check later
6748.0,CA-2017-100230,12/11/2017,12/15/2017,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035.0,East,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,14.952,1.0,0.2,5.0463,Legacy,Pending,Urgent
